,Номер,Контрагент,Подразделение,Описание,Часы,Оценка,Комментарии
40,БПФР-014723,РЕГИОНАЛЬНАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ ООО,Отдел автоматизации ЗУП,"Инициатор: Меньшикова Елена Владимировна (8-905-852-38-36)
Почему при расчете доплаты за работу в праздники, стоимость часа разная у сотрудников с одинаковыми окладами (Архипова Альбина и Шагимарданова Оксана)?",0.25,10,"Задание недостаточно детализировано. Необходимо указать конкретные шаги или действия, которые должны быть выполнены для решения проблемы. Например:

1. Проанализировать расчет стоимости часа работы каждого сотрудника.
2. Проверить настройки графика работы и переработки.
3. Изучить наличие премий или надбавок, влияющих на стоимость часа.
4. При необходимости, проверить правильность учета рабочего времени в системе.

В текущем виде задание требует уточнения и дополнения для четкого понимания того, что именно требуется исследовать и как это связано с системой 1С ЗУП."
41,БПФР-014724,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,"Создание регламента по процессу подписания рабочего задания.
Создание инструкции по процессу создания РЗ в ЭСТИ: УФФ.",4.0,8,"Задание содержит недостаточно информации о процессе согласования рабочих заданий. Необходимо уточнить:
- Кто является инициатором создания регламента?
- Какие конкретные шаги должны быть прописаны в регламенте?
- Кому и как будут направляться подписанные рабочие задания?
- Как будет происходить контроль за выполнением регламента?

Без этих деталей регламент останется неполным и труднореализуемым."
42,БПФР-014726,ПУРГАЗ АО,Отдел автоматизации БУ и УУ,"Подготовка к переходу (обновлению) конфигурации ПП «1C:Бухгалтерия Предприятия КОРП»  с версии 3.0.160.22 на версию 3.0.169.15 через релизы 3.0.164.20 и 3.0.166.25. Анализ изменений в расширениях, обновление объектов расширения, обновление форм документов, общих модулей, справочников и других объектов в расширениях. Обновление тестовой информационной базы БП. Проверка наличия сохраненных доработанных объектов в конфигурации и расширении БП. Тестирование обновленных объектов, тестирование на возникновение программных ошибок, тестирование прав пользователей. Устранение выявленных ошибок при обновлении. Подготовка к обновлению рабочей базы, перенос необходимых файлов на сервер Заказчика, создание архива конфигурации, базы данных и конфигурации расширения, загрузка новой конфигурации на рабочую базу, обновление информационной базы. Устранение выявленных ошибок пользователями.",90.0,8,"Задание содержит достаточно информации для выполнения работы, но можно добавить несколько уточнений:

1. **Процесс обновления**:
   - Какие конкретные шаги будут предприняты при обновлении? Например, проверка регламентных операций, анализ производительности, настройка прав доступа и т.д.
   
2. **Тестирование**:
   - Какие именно объекты будут проверены на наличие ошибок после обновления?
   - Планируется ли тестирование на реальных данных или только формально-техническое тестирование?

3. **Документация**:
   - Кто будет отвечать за подготовку документации по итогам выполненных работ?

4. **Этапы работ**:
   - Возможно, стоит разделить задачу на этапы (например, обновление тестовой базы, подготовка рабочей базы, устранение ошибок). Это поможет лучше контролировать процесс."
43,БПФР-014727,ХМГЭС АО,Отдел автоматизации ПУ и ОУ,Ошибка: Не найден Электронный Документ по идентификатору ЭДО,0.25,1,"Задание недостаточно детализировано. Необходимо уточнить:

- Конкретизировать ошибку (например, какой именно документ не найден, причины ошибки).
- Детально описать работы, которые необходимо выполнить для решения проблемы (например, проверить наличие документа, связаться с контрагентом, внести изменения в систему и т.д.).
- Указать, кто является инициатором задания и какие сроки выполнения установлены.

Только после этого можно оценить объем работ и определить правильное количество часов."
44,БПФР-014758,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,Изучение 1C:ERP производственный модуль.,8.0,8,"Задание требует уточнения: необходимо более подробно описать, какие именно аспекты производственного модуля 1C:ERP должны быть изучены, и как это связано с подготовкой к обучению и консультациям клиентов УНСФ (УНФ строит). Также важно указать, какие результаты ожидаются после выполнения этой работы."
45,БПФР-014731,ТРИМЕТ ООО,Отдел автоматизации ЗУП,"Инициатор: Рахимжанова Елена Есимовна
Консультация ",0.25,10,"Задание недостаточно детализировано. Необходимо указать конкретные вопросы по 1С ЗУП, которые необходимо обсудить, и добавить больше информации о работах, которые требуется выполнить. Например:

**Консультация 1С ЗУП**  
**Отдел автоматизации ЗУП**  
**Инициатор: Рахимжанова Елена Есимовна**  
**Консультация**  
- Обсуждение настройки параметров расчета резервов на отпуска в 1С ЗУП  
- Анализ правильности использования счетов учета при создании резервов  
- Разъяснение порядка отражения резервов в регламентированной отчетности  
- Часы: 0.25  
- Работы: Обсудить с коллегами ключевые моменты настройки и расчета резервов на отпуска в 1С ЗУП."
46,БПФР-014732,ТЕХНОЛОГИЯ - ТЮМЕНЬ ООО,Отдел автоматизации ПУ и ОУ,"Подготовка тестовой площадки и контрольных примеров. Анализ ошибок закрытия месяца, восстановление записей регистров для исправления ошибки списания номенклатуры. Тестирование операций закрытия месяца на новой учетной политики компании",17.0,8,"Задание содержит недостаточно информации для понимания объема и сложности работы. Необходимо уточнить:
- Какие конкретно ошибки закрытия месяца нужно анализировать?
- Какие действия требуются для восстановления записей регистров?
- Какие операции нужно тестировать при закрытии месяца на новой учетной политике?
- Нужно ли подготовить дополнительные контрольные примеры или тестовые данные?

Пожалуйста, предоставьте более детальное описание задач, чтобы можно было оценить их сложность и время выполнения."
47,БПФР-014736,ТЕХНОЛОГИЯ - ТЮМЕНЬ ООО,Отдел автоматизации ПУ и ОУ,"Ольга (8-982-932-31-22)
Консультация",0.25,10,"Задание недостаточно детализировано. Необходимо уточнить объем работы и задачи, которые должны быть выполнены. Например: 

**Задание:**  
Консультация по настройке параметров учета в 1С ЗУП для автоматического расчета резервов на оплату отпусков.

**Подразделение:**  
Отдел автоматизации ПУ и ОУ

**Исполнитель:**  
Ольга (8-982-932-31-22)

**Количество часов:**  
0.25 часа

**Описание задачи:**  
Необходимо провести консультацию по настройке параметров учета в 1С ЗУП для корректного расчета резервов на оплату отпусков, включая проверку алгоритма расчета, настройки резервов и анализ возможности интеграции с другими системами."
48,БПФР-014737,ПУРГАЗ АО,Отдел разработки,"Тикет №ПЗ000000289
Инициатор: Гульчак Ольга Николаевна
Приведение в соответствие печатных форм индивидуальных графиков и графиков работы сотрудников",4.5,10,"Задание требует уточнения:  
- Какие именно формы необходимо привести в соответствие?  
- Нужно ли обновить шаблоны или сами графики работы сотрудников?  
- Возможно, стоит указать конкретные сроки выполнения или требования к результату?"
49,БПФР-014738,ЗЕРНОВОЕ ООО,Отдел автоматизации ЗУП,"Инициатор: Елена 500-231 доб. 3
Каким документом в программе увеличить отпуск на 2 дня по сотруднику с инвалидностью",0.25,8,"Задача недостаточно конкретизирована. Необходимо уточнить, какой именно документ нужно использовать для увеличения отпуска и какие данные необходимо изменить. Также стоит указать, на каком этапе находится работа и что требуется от сотрудника."
50,БПФР-014739,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,"Формирование расширения для добавления в отчет ""График производства"" и ""График производства партии запуска"" характеристики номенклатуры, а также отражение ее в наименовании.",6.5,8,"Замечания:
1. **Недостаточно информации** о том, какие именно изменения требуется внести в отчет. Какие новые поля или параметры необходимо добавить?
2. **Отсутствие связи с бизнес-процессами**. Не указано, как эти изменения повлияют на работу компании или пользователей системы.
3. **Объем часов не соответствует сложности задачи**. 6.5 часа недостаточно для выполнения такого объема работы.

Рекомендации:
1. Детально опишите, что конкретно нужно изменить в отчете.
2. Объясните, зачем это нужно и как это связано с бизнес-задачами компании.
3. При необходимости увеличьте время на выполнение задачи."
51,БПФР-014740,ППР ТЮМЕНСКИЙ ООО,Отдел автоматизации ПУ и ОУ,Установка 1С:Предприятие 8. Отчетность АПК,0.75,10,"Задание сформулировано кратко, но требует уточнения:

**Что именно нужно установить?** 
- Какие компоненты системы (базовые, конфигуратор, платформа)?
- Требуется ли настройка после установки?
  
**Какие действия необходимо предпринять?** 
- Нужно ли создать новые базы данных?
- Как будет использоваться установка – только для отчетности или также для других целей?

Поле **""описание работ""** пустое, что затрудняет понимание объема работы. Следует указать конкретные шаги, например:
- Скачать дистрибутив с официального сайта
- Запустить инсталлятор
- Выполнить настройки согласно инструкции

Дополнительно можно уточнить требования к системе (операционная система, версия платформы и т.д.)."
52,БПФР-014757,ПАЛЛАДА ООО,Отдел автоматизации ПУ и ОУ,"Демонстрация для ООО ""Паллада"" работы с ""Честным знаком"".",3.5,8,"**Замечания:**

1. В поле ""Описание"" укажите конкретную цель обучения или консультации, например: ""Проведение демонстрации функционала УНСФ (УНФ строит) для сотрудников ООО 'Паллада' по работе с системой 'Честный знак'."", чтобы было ясно, что именно необходимо сделать.
   
2. В поле ""Количество часов"" уточните, сколько времени займет выполнение всей задачи, включая подготовку и проведение демонстрации.

3. Поле ""Описание работ, которые нужно выполнить"" можно детализировать, указав, какие именно аспекты функционала УНСФ будут демонстрироваться, и как это связано с работой в системе ""Честный знак""."
53,БПФР-014891,ЗАВОДОУКОВСКИЙ МАШЗАВОД АО,Отдел автоматизации БУ и УУ,"Инициатор: Харланович Наталия Владимировна
Задание: Проверьте правильность формирования налога на прибыль в бухгалтерском и налоговом учете",18.5,10,"Задание сформулировано кратко, но недостаточно понятно. Вот предложения по улучшению:

**Хорошее задание:**

---

**Контрагент:** Не указан
**Подразделение:** Отдел автоматизации БУ и УУ
**Описание:** Тема задания – проверка правильности формирования налога на прибыль в бухгалтерском и налоговом учете.
**Инициатор:** Харланович Наталия Владимировна
**Часы:** 18.5
**Описание работы:** Необходимо провести сверку данных по расчету налога на прибыль в бухгалтерском и налоговом учете, проверить корректность применения ставок, сопоставить налоговые базы и выявить возможные расхождения. В случае обнаружения расхождений предложить рекомендации по их устранению.

---

Этот вариант более детально описывает задачу и помогает сотруднику понять объем и сложность работы."
54,БПФР-014750,Майер Виктор Яковлевич ИП,Отдел автоматизации ПУ и ОУ,"Обновление типовой конфигурации ""1С:Зарплата и Управление Персоналом, редакция 3.1"" до последнего актуального релиза 3.1.32.17
Установка последних патчей.",1.0,10,"Задание содержит недостаточно информации о том, что именно необходимо обновить и какие действия должны быть выполнены. Необходимо уточнить детали:

- Какие конкретно объекты конфигурации требуют обновления?
- Нужно ли проводить тестирование после обновления?
- Есть ли необходимость в установке дополнительных расширений или патчей?
- Если есть специфические требования к обновлению, их тоже стоит указать.

Без этих деталей невозможно точно определить объем работы и правильно оценить время выполнения."
55,БПФР-014751,РАДУГА ООО,Отдел автоматизации ПУ и ОУ,"Обновление информационной базы конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19, установка патчей и исправлений.",1.0,8,"Задание требует уточнения. Необходимо указать конкретные шаги и действия, которые сотрудник должен выполнить, а также проверить, что обновление касается именно версии 3.0.170.19, так как существуют разные версии конфигурации ""1С:Бухгалтерия предприятия""."
56,БПФР-014752,ЭНЕРГОСНАБ ООО,Отдел автоматизации ПУ и ОУ,"Создание резервных копий информационных баз.
Обновление двух информационных:
Обновление информационной базы типовой конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" с релиза 3.0.168.19 до последнего актуального релиза 3.0.170.19
Обновление информационной базы типовой конфигурации ""1С:Управление нашей фирмой, редакция 3"" с релиза 3.0.10.178 до последнего актуального релиза 3.0.10.210
Установка патчей.",1.0,10,"Задание сотруднику требует уточнения и детализации. Вот пример того, как его можно улучшить:

**Задание сотруднику:**

**Название задания:** Обновление конфигураций Бух и УНФ
**Подразделение:** Отдел автоматизации ПУ и ОУ
**Цель:** Актуализация текущих версий конфигураций ""1С:Бухгалтерия предприятия, редакция 3.0"" и ""1С:Управление нашей фирмой, редакция 3"".
**Описание:**
- **Информационная база:** ""1С:Бухгалтерия предприятия, редакция 3.0"", релиз 3.0.168.19 → последний актуальный релиз 3.0.170.19
- **Информационная база:** ""1С:Управление нашей фирмой, редакция 3"", релиз 3.0.10.178 → последний актуальный релиз 3.0.10.210
- **Время выполнения:** 4 часа
- **Важные шаги:**
  1. Скачать актуальные обновления с официального сайта поддержки пользователей ""1С"".
  2. Провести тестирование обновлений перед их установкой.
  3. Установить патчи после успешной проверки.
  4. Выполнить проверку функциональности системы после установки обновлений.

Добавьте дополнительные комментарии, если считаете нужным."
57,БПФР-014753,ЯМАЛЬСКИЙ СТРОИТЕЛЬ ООО,Отдел автоматизации ПУ и ОУ,"Обновление информационной базы конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19
Обновление информационной базы типовой конфигурации ""1С:Зарплата и Управление персоналом, редакция 3"" до актуальной версии 3.1.32.17
Установка патчей.",1.5,8,"Задание требует уточнения:  
- Какие именно патчи необходимо установить?  
- Нужно ли выполнить дополнительные настройки после установки патчей?  
- Есть ли какие-то специфические требования или ограничения, связанные с обновлением?"
58,БПФР-014754,ПОЛНОЕ ПРАВО ООО,Отдел автоматизации ПУ и ОУ,"Создание резервной копии информационной базы
Обновление типовой конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19
Установка последних патчей.",1.0,8,"Задание требует уточнения. Необходимо более подробно описать работы, которые должны быть выполнены, включая шаги по созданию резервной копии, обновлению конфигурации и установке патчей. Также стоит указать, требуется ли тестирование после обновления и какие именно компоненты системы должны быть обновлены."
59,БПФР-014760,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел разработки,"Тикет №КЖ000000136
Инициатор: Бохинский Евгений Викторович
Не правильно отражаются остатки",4.0,8,"Задание требует уточнения. В текущем виде недостаточно информации о том, что именно нужно сделать для решения проблемы с остатками. Необходимо более подробно описать, какие действия должны быть предприняты, чтобы решить проблему с неверным отражением остатков."
60,БПФР-014761,СТРОЙ-ИНВЕСТ ООО СК,Отдел автоматизации ПУ и ОУ,"Обновление типовой конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19
Установка последних патчей.",1.0,8,"Задание сотруднику сформулировано кратко, но требует уточнения. Вот как можно его улучшить:

**Пример улучшения задания:**

**Название задания:** Обновление конфигурации «1С:Бухгалтерия предприятия, редакция 3.0» до релиза 3.0.170.19
**Подразделение:** Отдел автоматизации ПУ и ОУ
**Описание:** Необходимо обновить типовую конфигурацию «1С:Бухгалтерия предприятия, редакция 3.0» до последнего актуального релиза – 3.0.170.19. Также требуется установить последние патчи.
**Количество часов:** 8 часов
**Дополнительные требования:** В процессе обновления необходимо проверить работоспособность всех основных функций системы, убедиться в отсутствии ошибок после установки патчей. Если будут обнаружены ошибки, подготовить план их устранения."
61,БПФР-014762,СТ И Т ООО,Отдел автоматизации ПУ и ОУ,"Обновление информационной базы ""1С:Бухгалтерия предприятия, редакция 3.0""
Обновление информационной базы ""1С:Зарплата и Управление персоналом, редакция 3.1""",1.5,8,"Задание недостаточно детализировано. Необходимо указать конкретные шаги и действия, которые сотрудник должен выполнить во время обновления конфигураций. Например:  
- Скачать актуальные обновления с сайта поддержки ИТС;  
- Обновить информационную базу ЗУП;  
- Обновить информационную базу БУХ;  
- Проверить работоспособность обновлений в обеих базах.

Поле ""описание задач"" слишком короткое – необходимо расширить его, чтобы было понятно, какие именно изменения должны быть внесены в базы данных."
62,БПФР-014763,ТЗК ООО,Отдел автоматизации ПУ и ОУ,"Обновление типовой конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19
Установка последних патчей.",1.0,10,"Задание сотруднику недостаточно детализировано. Необходимо уточнить, какие именно работы должны быть выполнены в рамках обновления конфигурации и установки патчей. Например: 

- Анализ текущей версии конфигурации и требований к обновлению.
- Скачивание и установка последнего релиза конфигурации 3.0.170.19.
- Применение последних патчей (если они имеются).
- Тестирование обновленной конфигурации на предмет работоспособности и отсутствия ошибок.
- Документирование результатов тестирования и возможных проблем.

Каждая из этих задач должна иметь четкие временные рамки и описания."
63,БПФР-014764,СМ ООО,Отдел автоматизации ПУ и ОУ,"Создание резервных копий информационных баз.
Обновление двух типовых конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" с версии 3.0.169.15 до последнего актуального релиза 3.0.170.19
Обновление двух типовых конфигурации ""1С:Зарплата и управление персоналом редакция 3.1""  с версии 3.1.31.67 до последнего актуального релиза 3.1.32.17
Установка последних патчей.",2.0,8,"Замечания к заданию:

1. **Неполное описание**: В описании задания указано только то, что необходимо обновить две типовые конфигурации 1С и установить последние патчи. Однако нет информации о том, какие именно версии будут обновляться, как это связано с текущими версиями и почему выбран именно этот объем времени.
   
2. **Неточное использование терминологии**: Термин ""патчи"" может иметь разные значения в контексте ИТ, поэтому важно уточнить, что имеется в виду под установкой последних патчей – обновления безопасности, функциональные обновления конфигураций или что-то другое?

3. **Отсутствие контекста**: Не указано, зачем выполняется обновление, какова его цель, какие проблемы могут возникнуть, если этого не сделать, и каким образом можно проверить успешность выполнения задачи.

4. **Пояснение к количеству часов**: Часы указаны без пояснения, почему выбрано именно такое время. Рекомендуется объяснить, как было рассчитано это время, исходя из каких параметров (например, сложности конфигураций, количества объектов и т.д.).

Рекомендации:

1. Добавить информацию о версиях, между которыми происходит обновление.
2. Объяснить, почему выбран такой объем времени.
3. Привести ссылки на документацию или внутренние регламенты, касающиеся обновления данных конфигураций.
4. Обязательно указать, какие шаги будут предприняты после установки патчей для проверки их корректной работы."
64,БПФР-014766,ГОСТЕПРИИМСТВО ООО,Отдел автоматизации ПУ и ОУ,"Создание резервной копии информационной базы
Обновление типовой конфигурации ""1С:Зарплата и Управление Персоналом, редакция 3.1"" до последнего актуального релиза 3.1.32.17
Установка последних патчей.",1.0,8,Задание требует уточнения. Что именно подразумевается под обновлением конфигурации? Какие конкретные шаги должны быть выполнены? Нужно ли сохранить данные или провести другие подготовительные действия перед обновлением?
65,БПФР-014767,АЛЬКОР ЗАО МПКФ,Отдел автоматизации ПУ и ОУ,"Создание резервных копий информационных баз.
Обновление информационной базы конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19
Обновление информационной базы типовой конфигурации ""1С:Зарплата и Управление персоналом, редакция 3"" до последнего актуального релиза 3.1.32.17
Обновление информационной базы конфигурации ""1С:Управление нашей фирмой, редакция 3.0"" до последнего актуального релиза 3.0.10.225
Установка последних патчей.",1.5,8,"Задание сотруднику: **недостаточно детализировано**. В нем отсутствуют важные моменты, такие как конкретные шаги выполнения обновления, проверка успешности обновления, тестирование функциональности после обновления, контроль за выполнением задач в установленные сроки. Также указано общее количество часов без распределения по каждой задаче отдельно.

Рекомендации:
1. Разделить общее время на выполнение каждой задачи отдельно.
2. Добавить пункты о проверке обновлений на тестовых базах перед применением к рабочим базам.
3. Указать необходимость контроля ошибок и отчетов после обновления.
4. Уточнить, кто будет отвечать за каждую задачу и установить дедлайны."
66,БПФР-014768,ГАЗАВТОМАТИКА ООО,Отдел автоматизации ПУ и ОУ,"Создание резервной копии информационной базы
Обновление типовой конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19
Установка последних патчей.",1.0,8,"Задание содержит недостаточно информации о том, что именно необходимо сделать в рамках обновления конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"". Рекомендуется уточнить следующие моменты:

1. Какие конкретные действия должны быть выполнены в процессе обновления? Например, настройка параметров учета, перенос данных, обновление регистров и т.д.
2. Требуется ли выполнить дополнительные настройки после обновления, например, настройку прав доступа или изменение алгоритмов расчета.
3. Нужно ли тестировать обновленную конфигурацию после установки?
4. Если есть какие-либо особенности, связанные с версией платформы или спецификой работы организации, это также стоит указать."
67,БПФР-014769,АВТО ТЮНИНГ ООО,Отдел автоматизации ПУ и ОУ,"Создание резервной копии информационной базы
Обновление типовой конфигурации ""1С:Бухгалтерия предприятия, редакция 3.0"" до последнего актуального релиза 3.0.170.19
Установка последних патчей.",1.0,8,"Задание недостаточно детализировано. Необходимо уточнить:
- Какие конкретные шаги будут выполнены при обновлении конфигурации?
- Требуется ли перенос данных или настройка новых функциональностей?
- Есть ли какие-то специфические требования или ограничения, которые следует учитывать при обновлении?"
68,БПФР-014770,СК ЗОТОН ГРУПП ООО,Отдел автоматизации ПУ и ОУ,Установка клиентских лицензий. Выдача прав пользователям в учебной базе. Установка общего доступа к файлу с базой.,1.0,10,"Задание недостаточно детализировано. Необходимо уточнить:

- Какие конкретные действия будут выполнены (например, установка лицензий, настройка прав пользователей, настройка общего доступа)?
- Есть ли какие-то специфические требования или ограничения?
- Нужно ли выполнить дополнительные проверки после выполнения задач?

Без этих деталей сложно оценить объем работы и её сложность."
69,БПФР-014778,ТЕХНО-ЦЕНТР ООО,Отдел автоматизации ЗУП,1. В Бухгалтерии в документе Отпуск данные для расчета среднего заработка настроить округление. 2. В документе Отпуск в расчетном периоде в январь не корректно попадает доля РК.,0.5,7,"Задание требует уточнения:  
- Что именно подразумевается под темой ""доля РК"" и почему это важно?  
- Какие конкретные шаги должны быть выполнены для настройки документа ""Отпуск""?  
- Требуется ли проверка правильности расчета среднего заработка после внесения изменений?"
70,БПФР-014887,БСТ ООО,Отдел автоматизации БУ и УУ,"Работа с пользователями Шахты ""Большевик"", Шахты ""Антоновская"", ПВВ",31.25,1,"Задание недостаточно конкретное. Необходимо уточнить, какие именно действия должны быть выполнены с пользователями шахт ""Большевик"", ""Антоновская"" и ПВВ, и как это связано с автоматизацией бухгалтерского и управленческого учета. Например:

**Шахты ""Большевик"", Шахты ""Антоновская"", ПВВ**  
Отдел автоматизации БУ и УУ  
Работа с пользователями этих шахт включает следующие этапы:  
- Анализ текущего состояния систем и процессов;  
- Обновление учетных политик и нормативной документации;  
- Настройка прав доступа и ролей пользователей;  
- Разработка инструкций для новых пользователей;  
- Обучение сотрудников работе с новыми системами и процессами.  
Общее время выполнения задания – **31.25 часа**."
71,БПФР-013727,АВТО ТЮНИНГ ООО,Отдел автоматизации ПУ и ОУ,"Инициатор: Гнатюк Т.А.

Устанавливаем на НОВЫЙ компьютер 1с Бухгалтерию, которую я покупал ранее у вас.
Создаем 2 базы старую до 31 декабря 2023 и Новую чистую с 1 января 2024г. Тоесть при запуске 1с будет вход по типу Бухгалтерия старая - Бухгалтерия новая.
Берем остатки запасов по складу из 1С АВТОСЕРВИС (важно не из старой бухгалтерии !!!) на 1 января 2024 и загружаем их в новую бухгалтерию. 

Далее как то делаем доступ бухгалтеру с ее компьютера к новому компьютеру например через сервер апач. Чтобы она могла из дома работать в бухгалтерии при включенном компе в офисе.
Соответственно делаем входы для 2 разных пользователей Директор с правами админа Бухгалтер с его правами.",13.0,8,"Замечания:
1. В задании отсутствует четкое указание на последовательность действий (шаги), что может привести к путанице.
2. Не указаны необходимые настройки сервера Apache и параметры доступа.
3. Нет упоминания о безопасности данных при удаленном доступе.
4. Необходимо уточнить, какие именно пользователи будут иметь доступ и какие у них будут права.
5. Важно также прописать шаги по настройке резервного копирования данных.
6. Следует добавить информацию о проверке соответствия настроек новой базы данным старой базы, чтобы избежать ошибок в переносе данных."
72,БПФР-014782,ТЕХНО-ЦЕНТР ООО,Отдел автоматизации ПУ и ОУ,Обновление нетиповой конфигурации 1С: БУхгалтерия до версии 3.0.170.19,1.5,8,"Задание требует уточнения: необходимо конкретизировать работы, которые должны быть выполнены в рамках обновления нетиповой конфигурации 1С: БУхгалтерия до версии 3.0.170.19. Например, включить пункты о проверке совместимости с другим ПО, тестировании обновленной системы и т.д."
73,БПФР-014771,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000137
Инициатор: Титаренко Виктория Сергеевна
Неверное заполнение ведомости на выплату ЗП",2.5,8,"Задание содержит недостаточно информации о работах, которые необходимо выполнить. Необходимо уточнить, какие именно действия должен предпринять сотрудник для исправления неверного заполнения ведомости на выплату ЗП."
74,БПФР-014772,ТСМ АО,Отдел автоматизации ЗУП,"Инициатор: Воллерт Инна Юрьевна
Вывести список сотрудников в 1С:ЗУП",0.25,8,"Задание недостаточно детализировано. Необходимо уточнить объем работы, например:

**Описание задачи:** Вывести список сотрудников с указанием их ФИО, должности и оклада за последний месяц.

**Объем работы:** 1 час."
75,БПФР-014773,УРАЛСИБГИДРОСТРОЙ АО,Отдел автоматизации ПУ и ОУ,"Установка ERP, сделать ЛК на портале ИТС, предложить подключить сервисы 1С-ЭДО, 1С-Отчетность, 1С-РПД. 
Контактное лицо - Кравченко Леонид +7 (3462) 319358, 89124137843",0.25,10,"Замечания:
1. **Количество часов**: Указано слишком мало времени на выполнение всего задания. Рекомендуется уточнить время, необходимое для выполнения всех задач.
2. **Описание задачи**: Важно четко указать все шаги и задачи, которые должны быть выполнены. В данном случае нужно подробно описать процесс установки ERP, создания личного кабинета на портале ИТС, подключения сервисов 1С-ЭДО, 1С-Отчетность и 1С-РПД.
3. **Контактное лицо**: Желательно указать полное имя контактного лица и его должность для лучшей идентификации.

Рекомендации:
1. Разделить задачу на несколько этапов с указанием примерного количества часов на каждый этап.
2. Добавить ссылку на документацию или инструкции, если они есть.
3. При необходимости, включить дополнительные комментарии по каждому этапу работы."
76,БПФР-014774,ТСМ АО,Отдел автоматизации ЗУП,"Инициатор: Собольникова Анна Сергеевна 
(7-3456-25-30-90 доб. 121)
Задание: 
1. Проверить вычеты у следующих сотрудников: Собольникова АС, Яковлев ДА, Чудинова ИП.
2. Выяснить причину отсутствия вычетов у следующих сотрудников: Сулейманова МТ, Поляков ЕВ, Нартымова ВЮ, Никитин АА, Нургазина ЛА, Фирсов ДВ.",0.75,8,"Задание недостаточно детализировано. Необходимо более четко указать, какие именно вычеты следует проверить и почему требуется выяснить причины отсутствия вычетов у указанных сотрудников. Также стоит уточнить, какие действия ожидаются от сотрудника в рамках выполнения этого задания."
77,БПФР-014776,ГАЗАВТОМАТИКА ООО,Отдел автоматизации ЗУП,"Инициатор: Каранкевич Ольга Витальевна
тел. (40-60-65, 8-904-495-83-20)
Ошибка в НДФЛ по Каранкевич СВ",0.25,1,"Задание недостаточно детализировано. Необходимо указать, какая именно ошибка допущена в НДФЛ, какие действия следует предпринять для её устранения и какие проверки необходимо провести."
78,БПФР-014775,ГАЗХОЛОДМАШ ООО,Отдел автоматизации ЗУП,"Инициатор: Марьяна
Через помощника перехода на новые начисления оплат по среднему выделить из Командировки доли РК СН",0.25,8,"Задание требует уточнения: какие именно начисления по среднему нужно выделить? Какие доли и для каких целей? Также необходимо указать конкретные шаги или действия, которые нужно предпринять."
79,БПФР-014781,СОГЛАСИЕ ООО,Отдел автоматизации ЗУП,Не отправляется Заявление в СФР о возмещении выплат родителям детей - инвалидов,0.25,1,"**Комментарий к заданию:**

Описание задачи недостаточно детализировано. Необходимо уточнить, какие конкретные шаги должны быть выполнены для решения проблемы с отправкой заявления (например, проверить правильность заполнения заявления, корректность предоставленных данных и т.д.). Также стоит указать, есть ли какие-то специфические требования или ограничения, связанные с данной задачей.

**Замечание:**
Уточните задачу, чтобы было понятно, что именно нужно сделать для её выполнения."
80,БПФР-014783,АЛЬКОР ЗАО МПКФ,Отдел автоматизации ЗУП,"Инициатор: Валова Ирина Владимировна (8-922-267-66-37)

Задание: 
1. Как в программе правильно принять сотрудника по срочному договору
2. Установить напоминая на дни рождения сотрудникам и на срочные трудовые договора",0.25,10,"Задание требует доработки. Необходимо уточнить, какие именно действия должны быть выполнены для установки напоминаний о днях рождения сотрудников и срочных трудовых договорах, и как это связано с консультацией по 1С ЗУП. Также важно указать, нужно ли установить напоминания только для срочных договоров или также для других типов договоров."
